"id";"countyfips";"year";"births";"censusbuildingpermits";"deaths";"groupquarterspopulation";"householdpopulation";"households";"householdsize";"naturalincrease";"netmigration";"totalhousingunits";"vacancyrate";"vacanthousingunits";"totalpopulation"
1;0;1985;55115;30898;20234;81139;3133309;1221557;2.565012;34881;5317;1402558;12.91;181001;3214448
2;0;1986;55142;30280;20768;82109;3161694;1243453;2.542673;34374;-5731;1436610;13.45;193157;3243803
3;0;1987;53803;17449;21089;83419;3179935;1258199;2.52737;32714;-14299;1467981;14.29;209782;3263354
4;0;1988;53346;12371;21312;86810;3184638;1267288;2.512955;32034;-24046;1486346;14.74;219058;3271448
5;0;1989;52697;10740;21056;87671;3196866;1282386;2.492905;31641;-18698;1497046;14.34;214660;3284537
6;0;1990;53491;11388;21514;79551;3224491;1282488;2.514246;31977;-12584;1477349;13.19;194861;3304042
7;0;1991;53530;13450;22096;81719;3299232;1313504;2.511779;31434;45475;1488886;11.78;175382;3380951
8;0;1992;54545;23057;22426;84669;3405163;1354139;2.514633;32119;76762;1503198;9.92;149059;3489832
9;0;1993;54100;29791;23171;89323;3515715;1386998;2.534766;30929;84277;1527392;9.19;140394;3605038
10;0;1994;53788;36748;23828;90658;3621404;1418294;2.553352;29960;77064;1557549;8.94;139255;3712062
11;0;1995;53869;38618;24724;93604;3717470;1451449;2.561213;29145;69867;1594454;8.97;143005;3811074
12;0;1996;54974;41135;25083;99958;3802490;1483877;2.562537;29891;61483;1634373;9.21;150496;3902448
13;0;1997;56305;43052;25885;96858;3899065;1527884;2.551938;30420;63055;1675928;8.83;148044;3995923
14;0;1998;57738;51156;26297;99083;4003408;1560722;2.5651;31441;75127;1719248;9.22;158526;4102491
15;0;1999;60718;49313;26532;106333;4109651;1607300;2.556866;34186;79307;1779663;9.69;172363;4215984
16;0;2000;63917;54596;26997;102749;4236052;1674523;2.529706669;36920;85875;1835015;8.75;160492;4338801
17;0;2001;66525;52872;27934;104464;4340049;1717669;2.52670858;38591;67121;1888179;9.03;170510;4444513
18;0;2002;67778;53348;28833;105962;4398747;1743164;2.523429836;38945;21251;1940772;10.18;197610;4504709
19;0;2003;69012;46521;28950;106969;4448115;1764982;2.520201316;40062;10313;1991916;11.39;226932;4555084
20;0;2004;68452;38609;29025;108262;4500549;1788148;2.516877238;39427;14300;2034030;12.09;245882;4608811
21;0;2005;69031;45307;29087;108525;4554009;1811477;2.513975612;39944;13779;2080634;12.94;269157;4662534
22;0;2006;69538;44188;29308;111028;4634632;1845956;2.510694729;40230;42896;2122727;13.04;276771;4745660
23;0;2007;70777;36353;29653;111911;4709873;1879158;2.506375465;41124;35000;2159545;12.98;280388;4821784
24;0;2008;70733;27917;31048;112860;4789078;1914596;2.501351721;39685;40469;2184314;12.35;269718;4901938
25;0;2009;69135;18191;30487;113459;4863394;1947695;2.497001069;38648;36267;2203007;11.59;255313;4976853
26;0;2010;67306;2338.75;31396;116952;4933380;1980978;2.490500429;35910;37569;2218388;10.7;237410;5050332
27;0;2011;65923;11914.81;32017;117986;5005706;2009805;2.490765316;33906;39454;2230249;9.88;220444;5123692
28;0;2012;64733;12556.09;32764;116930;5079013;2039021;2.490907646;31969;40282;2242840;9.09;203819;5195943
29;0;2013;64735;23687.57;33624;117855;5155087;2068052;2.492726005;31111;45888;2265415;8.71;197363;5272942
30;0;2014;65711;27874.08;34003;117692;5235174;2097570;2.49582684;31708;48216;2291673;8.47;194103;5352866
31;0;2015;66339;29549.56;36244;119884;5334823;2131796;2.502501646;30095;71746;2320388;8.13;188592;5454707
32;0;2016;66561;32015.9;36820;119832;5423119;2162942;2.507270833;29741;58503;2348706;7.91;185764;5542951
33;0;2017;65312;37493.16;37747;121328;5495239;2194022;2.504720475;27565;46051;2384579;7.99;190557;5616567
34;0;2018;63780;40673;38219;121558;5572753;2225211;2.504465138;25561;52183;2425438;8.26;200227;5694311
35;1;1985;5210;2741;1304;2256;266508;94949;2.806854;3906;-807;104376;9.03;9427;268764
36;1;1986;5101;2926;1425;2254;266389;95759;2.781869;3676;-3797;108677;11.89;12918;268643
37;1;1987;5058;943;1540;2261;267062;96564;2.765648;3518;-2838;111852;13.67;15288;269323
38;1;1988;5024;432;1486;2187;266832;97064;2.749032;3538;-3842;112933;14.05;15869;269019
39;1;1989;4777;397;1429;2249;264522;96879;2.730437;3348;-5596;113086;14.33;16207;266771
40;1;1990;4807;335;1561;2727;262981;96353;2.729349;3246;-4309;106947;9.91;10594;265708
41;1;1991;4940;658;1639;2776;270848;98326;2.754592;3301;4615;107282;8.35;8956;273624
42;1;1992;5005;1385;1619;2844;278541;101116;2.754668;3386;4375;108074;6.44;6958;281385
43;1;1993;5034;2439;1693;2880;287897;102836;2.799574;3341;6051;109367;5.97;6531;290777
44;1;1994;4906;2906;1800;2963;297831;105211;2.830797;3106;6911;111800;5.89;6589;300794
45;1;1995;5063;2944;1781;2979;309614;108485;2.85398;3282;8517;114742;5.45;6257;312593
46;1;1996;5251;2764;1844;3774;319268;111208;2.870908;3407;7042;117691;5.51;6483;323042
47;1;1997;5480;4155;1872;3798;328946;114514;2.87254;3608;6094;120682;5.11;6168;332744
48;1;1998;5846;4478;2053;3795;340229;117449;2.896823;3793;7487;124925;5.98;7476;344024
49;1;1999;6155;4146;2081;3792;351516;120316;2.921607;4074;7210;129403;7.02;9087;355308
50;1;2000;6869;1455;2115;3414;348321;124088;2.807048224;4754;-8328;128717;3.6;4629;351735
51;1;2001;7132;5819;2223;3396;356041;126724;2.809578296;4909;2793;133917;5.37;7193;359437
52;1;2002;7271;6158;2213;3625;367556;130680;2.812641567;5058;6686;139734;6.48;9054;371181
53;1;2003;7393;5981;2283;3649;374016;132793;2.816534004;5110;1374;144635;8.19;11842;377665
54;1;2004;7429;4811;2216;3643;382302;135443;2.822604343;5213;3067;149648;9.49;14205;385945
55;1;2005;7560;5313;2357;3626;391758;138478;2.829026993;5203;4236;154113;10.15;15635;395384
56;1;2006;7733;4928;2241;3657;403930;142496;2.834676061;5492;6711;157948;9.78;15452;407587
57;1;2007;7841;3252;2279;3671;412244;145208;2.838989587;5562;2766;160651;9.61;15443;415915
58;1;2008;7925;2288;2448;3683;421455;148306;2.841793319;5477;3746;162115;8.52;13809;425138
59;1;2009;7699;957;2359;3873;432450;152045;2.84422375;5340;5845;162794;6.6;10749;436323
60;1;2010;7436;130.85;2474;4027;439684;154505;2.845759037;4962;2426;163435;5.46;8930;443711
61;1;2011;7247;663.97;2467;4042;448152;157460;2.846132351;4780;3703;164066;4.03;6606;452194
62;1;2012;6923;716.23;2754;4019;456562;160393;2.846520733;4169;4218;164805;2.68;4412;460581
63;1;2013;7171;1266.8;2798;4029;466052;163736;2.846362437;4373;5127;165879;1.29;2143;470081
64;1;2014;7044;1541;2711;4135;476079;165363;2.878993487;4333;5800;167270;1.14;1907;480214
65;1;2015;7361;1573.33;2962;4130;486558;165297;2.943537995;4399;6075;168727;2.03;3430;490688
66;1;2016;7171;1448.97;2942;4301;493822;165697;2.980271218;4229;3206;170048;2.56;4351;498123
67;1;2017;7167;2502.18;3113;4273;499790;168930;2.958562718;4054;1886;172767;2.22;3837;504063
68;1;2018;6916;2730.76;3128;4273;507196;172120;2.946758076;3788;3618;175672;2.02;3552;511469
69;3;1985;258;10;79;884;12127;4277;2.835399;179;-85;5113;16.35;836;13011
70;3;1986;246;16;84;897;12439;4388;2.834777;162;163;5117;14.25;729;13336
71;3;1987;273;11;90;900;12527;4412;2.839302;183;-92;5126;13.93;714;13427
72;3;1988;264;60;99;1168;12547;4394;2.855485;165;123;5147;14.63;753;13715
73;3;1989;234;28;103;1153;12507;4375;2.858743;131;-186;5293;17.34;918;13660
74;3;1990;265;29;91;998;12632;4721;2.675704;174;-204;5254;10.14;533;13630
75;3;1991;273;20;95;967;12672;4860;2.607407;178;-169;5283;8.01;423;13639
