"","age","totalpopulation.x","totalpopulation.y","y"
"1",0,"65909.826793573","74492.362403894",1
"2",1,"65669.272327054","72975.252699309",1
"3",2,"67443.297544232","71872.702862940",1
"4",3,"67731.341600019","70806.204794695",1
"5",4,"67347.899854557","69198.098299905",1
"6",5,"66793.651653451","67886.338700164",1
"7",6,"67085.914602085","68479.561378075",1
"8",7,"68634.249213127","68934.306087959",1
"9",8,"68865.955485182","69320.688224795",1
"10",9,"70681.647163733","71330.978200483",1
"11",10,"72476.078647402","72023.415093664",1
"12",11,"74149.732640737","72148.569308067",1
"13",12,"74586.403692199","71837.435790475",1
"14",13,"74130.726708291","72048.163118398",1
"15",14,"74376.813789746","73370.318615212",1
"16",15,"73825.794139456","73574.035011104",1
"17",16,"72758.908459900","75249.926943196",1
"18",17,"73225.980768856","76983.757484162",1
"19",18,"76700.396414041","82314.882880205",2
"20",19,"79266.215174357","86509.939261135",2
"21",20,"79748.282415502","87790.981103890",2
"22",21,"79110.113652119","88494.675892093",2
"23",22,"79499.056621671","88641.676558242",2
"24",23,"79658.589033800","87779.396728871",2
"25",24,"80967.067561982","89143.584755292",2
"26",25,"85091.690823983","92603.985403340",3
"27",26,"85780.965005567","94801.477363214",3
"28",27,"86564.479981390","96677.318343613",3
"29",28,"87494.661935942","98528.629912128",3
"30",29,"87660.697473289","100983.339363085",3
"31",30,"86272.257524753","99624.233891858",3
"32",31,"88850.018694652","99080.753345733",3
"33",32,"88854.625408107","98810.287435642",3
"34",33,"86045.236403669","95337.383110120",3
"35",34,"82596.35535665","92514.446507895",3
"36",35,"82216.100854705","91547.824177231",3
"37",36,"79841.07946440","89513.326014561",3
"38",37,"78020.005637035","89354.117748739",3
"39",38,"79568.721650449","91828.515591734",3
"40",39,"76323.554213915","92339.210114777",3
"41",40,"75538.120359287","90612.079732285",3
"42",41,"74176.447711276","87928.10210098",3
"43",42,"73097.977871094","86955.056845395",3
"44",43,"74056.615979511","84788.46776588",3
"45",44,"71683.239231335","82455.222049721",3
"46",45,"71576.399690758","83560.864207864",3
"47",46,"73967.609229109","79820.703796481",3
"48",47,"77206.320567349","78393.960776740",3
"49",48,"77167.446929152","76483.042701399",3
"50",49,"73261.881311324","74990.586836450",3
"51",50,"69154.024466509","75500.574666389",3
"52",51,"67205.507873981","73446.201777091",3
"53",52,"67604.973109374","73051.750787941",3
"54",53,"71484.251317850","75067.571166393",3
"55",54,"72921.415854753","77949.119607038",3
"56",55,"73780.534077131","77610.036386949",4
"57",56,"74371.162581509","73610.863213188",4
"58",57,"74975.685977718","69435.188049831",4
"59",58,"75925.999786182","67143.067344343",4
"60",59,"73199.446372009","67127.028726222",4
"61",60,"71746.813817946","70228.496945389",4
"62",61,"70081.943365917","70820.405328751",4
"63",62,"67835.802156839","70930.588085689",4
"64",63,"65952.12266377","70696.450574617",4
"65",64,"63481.659880699","70688.323619625",4
"66",65,"61368.575900452","70958.061377050",5
"67",66,"58644.516533225","67955.100953623",5
"68",67,"55464.18322213","66217.700259773",5
"69",68,"53787.135539041","64446.164616539",5
"70",69,"51404.74074270","62124.787255028",5
"71",70,"51083.53143401","60072.10315770",5
"72",71,"50215.61181722","57405.282911497",5
"73",72,"39761.398226422","55069.965164585",5
"74",73,"36059.579863826","52152.213860498",5
"75",74,"34668.288881904","48826.006752796",5
"76",75,"33354.332568726","46852.954676606",6
"77",76,"29573.205606634","44291.670568587",6
"78",77,"26231.532721581","43466.571932147",6
"79",78,"24144.464696505","42147.014469009",6
"80",79,"22478.538181188","33023.888577560",6
"81",80,"20691.683237716","29444.091668766",6
"82",81,"18868.492673749","27704.003399001",6
"83",82,"17336.252965021","25958.415212357",6
"84",83,"15930.502966230","22386.295077469",6
"85",84,"14234.086094208","19227.585183345",6
"86",85,"13096.781732813","17046.088928264",7
"87",86,"11991.009984652","15205.725147908",7
"88",87,"10981.302394623","13342.377160646",7
"89",88,"9715.896506135","11531.232742406",7
"90",89,"8495.686730468","9993.717820955",7
"91",90,"7437.244814934","8593.399512781",7
"92",91,"6239.159197058","7121.934700143",7
"93",92,"5262.902602937","6027.368480946",7
"94",93,"4360.122980564","5046.126022880",7
"95",94,"3566.800803237","4198.951754680",7
"96",95,"2760.205709617","3347.807515658",7
"97",96,"2179.326172991","2613.993634760",7
"98",97,"1589.035477902","2028.102047888",7
"99",98,"1097.874007598","1493.396564104",7
"100",99,"771.996810603","1097.897256089",7
"101",100,"1104.243712520","1817.933261308",7
